area,habilidade,descricao,tri_score,area_code,tri_range,conceitos_cientificos,conceitos_cientificos_confidence,campos_semanticos,campos_semanticos_confidence,campos_lexicais,campos_lexicais_confidence,processos_fenomenos,processos_fenomenos_confidence,contextos_historicos,contextos_historicos_confidence,habilidades_compostas,habilidades_compostas_confidence,all_entities
Linguagens,H1,"Gênero diário em letra de canção, caracterizado pela narrativa autorreflexiva.",612.8,LC,550-650,"narrativa autorreflexiva, Gênero diário","0.9892, 0.716",letra de canção,0.9955,letra de canção,0.9872,narrativa autorreflexiva,0.9609,letra de canção,0.9833,narrativa autorreflexiva,0.3304,"narrativa autorreflexiva, Gênero diário, letra de canção, letra de canção, narrativa autorreflexiva, letra de canção, narrativa autorreflexiva"
Linguagens,H1,"Gênero texto teatral, caracterizado pelo uso de rubricas na construção da ação.",627.6,LC,550-650,"Gênero texto teatral, uso de rubricas","0.7139, 0.3345",Gênero texto teatral,0.9866,Gênero texto teatral,0.9811,construção da ação,0.9962,Gênero texto teatral,0.801,"construção da ação, uso de rubricas","0.8619, 0.3316","Gênero texto teatral, uso de rubricas, Gênero texto teatral, Gênero texto teatral, construção da ação, Gênero texto teatral, construção da ação, uso de rubricas"
Linguagens,H1,"Gênero biografia, constituída pelo relato de eventos da vida em perspectiva histórica.",641.2,LC,550-650,"eventos da vida, Gênero biografia","0.5845, 0.5025",Gênero biografia,0.9843,Gênero biografia,0.9764,relato de eventos da vida,0.4794,"Gênero biografia, perspectiva histórica, eventos da vida","0.6977, 0.655, 0.4846",relato de eventos da vida,0.3759,"eventos da vida, Gênero biografia, Gênero biografia, Gênero biografia, relato de eventos da vida, Gênero biografia, perspectiva histórica, eventos da vida, relato de eventos da vida"
Linguagens,H1,"Gênero resenha, caracterizada pela apresentação de uma produção intelectual de forma crítica.",642.8,LC,550-650,"produção intelectual, Gênero resenha","0.8218, 0.76",Gênero resenha,0.968,Gênero resenha,0.9582,apresentação de uma produção intelectual de forma crítica,0.8045,Gênero resenha,0.8867,apresentação de uma produção intelectual de forma crítica,0.6783,"produção intelectual, Gênero resenha, Gênero resenha, Gênero resenha, apresentação de uma produção intelectual de forma crítica, Gênero resenha, apresentação de uma produção intelectual de forma crítica"
Linguagens,H1,"Gênero aforismo (máxima), caracterizado pela exposição de uma ideia em poucas palavras.",645.4,LC,550-650,,,,,,,exposição de uma ideia em poucas palavras,0.9166,,,exposição de uma ideia em poucas palavras,0.8955,"exposição de uma ideia em poucas palavras, exposição de uma ideia em poucas palavras"
Linguagens,H1,"Gênero resenha, com predominância de opiniões sobre uma obra (livro sobre festival de 1967).",652.0,LC,650-750,"predominância de opiniões, Gênero resenha","0.8943, 0.5401",Gênero resenha,0.9317,Gênero resenha,0.9253,predominância de opiniões,0.6837,festival de 1967,0.995,predominância de opiniões,0.3223,"predominância de opiniões, Gênero resenha, Gênero resenha, Gênero resenha, predominância de opiniões, festival de 1967, predominância de opiniões"
Linguagens,H1,"Gênero poema com estrutura de receita, explorando elementos temáticos de uma receita.",658.6,LC,650-750,"estrutura de receita, elementos temáticos","0.9737, 0.3601","estrutura de receita, Gênero poema","0.9556, 0.481",estrutura de receita,0.9868,explorando elementos temáticos,0.8528,Gênero poema,0.9751,explorando elementos temáticos,0.6151,"estrutura de receita, elementos temáticos, estrutura de receita, Gênero poema, estrutura de receita, explorando elementos temáticos, Gênero poema, explorando elementos temáticos"
Linguagens,H1,"Gênero crônica, questionamento sobre a brevidade no tratamento da temática.",732.6,LC,650-750,tratamento da temática,0.6628,Gênero crônica,0.9976,Gênero crônica,0.9933,tratamento da temática,0.9772,Gênero crônica,0.9514,tratamento da temática,0.8,"tratamento da temática, Gênero crônica, Gênero crônica, tratamento da temática, Gênero crônica, tratamento da temática"
Linguagens,H2,"Função do cartaz (educativa), orientando o comportamento de usuários de uma biblioteca.",408.3,LC,200-450,Função do cartaz,0.8955,,,,,orientando o comportamento de usuários,0.8792,,,orientando o comportamento de usuários,0.7188,"Função do cartaz, orientando o comportamento de usuários, orientando o comportamento de usuários"
Linguagens,H2,"Texto publicitário, conscientizando sobre a importância da formação leitora na infância.",448.6,LC,200-450,formação leitora,0.9913,Texto publicitário,0.9992,Texto publicitário,0.9981,formação leitora,0.9626,,,,,"formação leitora, Texto publicitário, Texto publicitário, formação leitora"
Linguagens,H2,"Anúncio publicitário, propondo ações de conscientização para reduzir a violência de gênero em eventos esportivos.",456.0,LC,450-550,"violência de gênero, conscientização","0.9448, 0.4174","Anúncio publicitário, eventos esportivos","0.9855, 0.7287","Anúncio publicitário, eventos esportivos","0.9697, 0.7021","reduzir a violência de gênero, conscientização","0.8856, 0.4334","eventos esportivos, Anúncio publicitário","0.9828, 0.9745",conscientização,0.8059,"violência de gênero, conscientização, Anúncio publicitário, eventos esportivos, Anúncio publicitário, eventos esportivos, reduzir a violência de gênero, conscientização, eventos esportivos, Anúncio publicitário, conscientização"
Linguagens,H2,"Campanha publicitária, recurso expressivo para sensibilizar sobre o abandono de animais domésticos.",457.3,LC,450-550,abandono de animais domésticos,0.5638,Campanha publicitária,0.9994,Campanha publicitária,0.9986,abandono de animais domésticos,0.9987,Campanha publicitária,0.9732,"recurso expressivo, sensibilizar sobre o abandono de animais domésticos","0.7801, 0.3137","abandono de animais domésticos, Campanha publicitária, Campanha publicitária, abandono de animais domésticos, Campanha publicitária, recurso expressivo, sensibilizar sobre o abandono de animais domésticos"
Linguagens,H2,"Propaganda, uso de metáfora para enfatizar a importância da denúncia de abuso sexual infantil.",485.9,LC,450-550,abuso sexual infantil,0.7835,,,,,denúncia de abuso sexual infantil,0.8419,,,uso de metáfora,0.6586,"abuso sexual infantil, denúncia de abuso sexual infantil, uso de metáfora"
Linguagens,H2,"Campanha publicitária, conscientização sobre a necessidade de denunciar a violência doméstica.",489.6,LC,450-550,"violência doméstica, conscientização","0.9502, 0.502","Campanha publicitária, conscientização","0.9918, 0.5232","Campanha publicitária, conscientização","0.9725, 0.5705",denunciar a violência doméstica,0.9759,Campanha publicitária,0.9838,denunciar a violência doméstica,0.9061,"violência doméstica, conscientização, Campanha publicitária, conscientização, Campanha publicitária, conscientização, denunciar a violência doméstica, Campanha publicitária, denunciar a violência doméstica"
Linguagens,H2,"Gênero instrucional, sobre como ser eficiente no envio de currículo por e-mail.",514.2,LC,450-550,"Gênero instrucional, envio de currículo por e-mail","0.4448, 0.3357",Gênero instrucional,0.9763,Gênero instrucional,0.9683,envio de currículo por e-mail,0.9145,envio de currículo por e-mail,0.9455,,,"Gênero instrucional, envio de currículo por e-mail, Gênero instrucional, Gênero instrucional, envio de currículo por e-mail, envio de currículo por e-mail"
Linguagens,H2,"Campanha publicitária, incitando a adoção de práticas de consumo consciente para economizar água.",525.5,LC,450-550,práticas de consumo consciente,0.922,Campanha publicitária,0.9997,Campanha publicitária,0.9983,economizar água,0.998,Campanha publicitária,0.9964,"economizar água, adoção de práticas de consumo consciente","0.6723, 0.3248","práticas de consumo consciente, Campanha publicitária, Campanha publicitária, economizar água, Campanha publicitária, economizar água, adoção de práticas de consumo consciente"
Linguagens,H2,"Campanha publicitária, variação na forma de apresentar informações relevantes para o público celíaco.",548.0,LC,450-550,,,Campanha publicitária,0.9989,Campanha publicitária,0.9971,,,"Campanha publicitária, público celíaco","0.925, 0.4402",,,"Campanha publicitária, Campanha publicitária, Campanha publicitária, público celíaco"
Linguagens,H2,"Gênero notícia, conscientizando a população sobre um grave problema de saúde pública (leishmaniose).",570.6,LC,550-650,"saúde pública, Gênero notícia","0.5235, 0.3562",Gênero notícia,0.9898,Gênero notícia,0.9829,conscientizando a população,0.8759,,,conscientizando a população,0.8413,"saúde pública, Gênero notícia, Gênero notícia, Gênero notícia, conscientizando a população, conscientizando a população"
Linguagens,H2,"Campanha sobre bullying, uso de estruturas injuntivas para chamar diferentes atores sociais.",595.3,LC,550-650,estruturas injuntivas,0.982,Campanha sobre bullying,0.7642,Campanha sobre bullying,0.6382,chamar diferentes atores sociais,0.9935,Campanha sobre bullying,0.9308,chamar diferentes atores sociais,0.9096,"estruturas injuntivas, Campanha sobre bullying, Campanha sobre bullying, chamar diferentes atores sociais, Campanha sobre bullying, chamar diferentes atores sociais"
Linguagens,H2,"Gênero edital (tombamento), concordância com a preservação do patrimônio histórico.",621.0,LC,550-650,"Gênero edital, preservação do patrimônio histórico","0.8366, 0.5713","Gênero edital, patrimônio histórico","0.8417, 0.6322","Gênero edital, patrimônio histórico","0.8835, 0.5619",preservação do patrimônio histórico,0.9716,Gênero edital,0.765,preservação do patrimônio histórico,0.8851,"Gênero edital, preservação do patrimônio histórico, Gênero edital, patrimônio histórico, Gênero edital, patrimônio histórico, preservação do patrimônio histórico, Gênero edital, preservação do patrimônio histórico"
Linguagens,H3,"Função social de texto, conscientização sobre a necessidade de preservação ambiental e segurança nas rodovias.",473.8,LC,450-550,"preservação ambiental, Função social de texto, segurança nas rodovias","0.8518, 0.7924, 0.6387",Função social de texto,0.4593,"Função social de texto, preservação ambiental","0.5992, 0.3902","segurança nas rodovias, preservação ambiental","0.8294, 0.8144",,,"Função social de texto, segurança nas rodovias","0.4306, 0.3356","preservação ambiental, Função social de texto, segurança nas rodovias, Função social de texto, Função social de texto, preservação ambiental, segurança nas rodovias, preservação ambiental, Função social de texto, segurança nas rodovias"
Linguagens,H3,"Projeto ""Pão e Poesia"", objetivando propor acesso à literatura a públicos diversos.",499.6,LC,450-550,"Pão e Poesia, acesso à literatura a públicos diversos","0.4954, 0.3448",Pão e Poesia,0.6026,Pão e Poesia,0.6164,propor acesso à literatura a públicos diversos,0.5204,Pão e Poesia,0.8692,propor acesso à literatura a públicos diversos,0.3923,"Pão e Poesia, acesso à literatura a públicos diversos, Pão e Poesia, Pão e Poesia, propor acesso à literatura a públicos diversos, Pão e Poesia, propor acesso à literatura a públicos diversos"
Linguagens,H3,"Texto sobre extensão de software, com objetivo de divulgar um produto que amplia a funcionalidade de um recurso.",502.5,LC,450-550,extensão de software,0.9184,extensão de software,0.9834,extensão de software,0.9807,"divulgar um produto, amplia a funcionalidade de um recurso","0.7621, 0.4328",extensão de software,0.3984,divulgar um produto,0.6359,"extensão de software, extensão de software, extensão de software, divulgar um produto, amplia a funcionalidade de um recurso, extensão de software, divulgar um produto"
Linguagens,H3,"Função do ""Hino à Bandeira"", utilizando a descrição para valorizar os elementos do símbolo nacional.",525.9,LC,450-550,Hino à Bandeira,0.915,símbolo nacional,0.9326,"símbolo nacional, Hino à Bandeira","0.8999, 0.3194",valorizar os elementos do símbolo nacional,0.9004,símbolo nacional,0.936,"valorizar os elementos do símbolo nacional, Hino à Bandeira","0.7824, 0.45","Hino à Bandeira, símbolo nacional, símbolo nacional, Hino à Bandeira, valorizar os elementos do símbolo nacional, símbolo nacional, valorizar os elementos do símbolo nacional, Hino à Bandeira"
Linguagens,H3,"Função do gênero peça teatral (""O bem amado""), criticando satiricamente o comportamento de pessoas públicas.",553.8,LC,550-650,"Função do gênero peça teatral, comportamento de pessoas públicas, O bem amado","0.5666, 0.4261, 0.3797",peça teatral,0.5443,"peça teatral, comportamento de pessoas públicas","0.5408, 0.3621",criticando satiricamente o comportamento de pessoas públicas,0.6274,,,"criticando satiricamente o comportamento de pessoas públicas, Função do gênero peça teatral","0.4783, 0.4743","Função do gênero peça teatral, comportamento de pessoas públicas, O bem amado, peça teatral, peça teatral, comportamento de pessoas públicas, criticando satiricamente o comportamento de pessoas públicas, criticando satiricamente o comportamento de pessoas públicas, Função do gênero peça teatral"
Linguagens,H3,"Gênero manual de orientação (para pais de ""nativos digitais""), com função de propor ações para cada etapa da infância.",565.8,LC,550-650,"nativos digitais, Gênero manual de orientação","0.714, 0.6476",nativos digitais,0.8264,nativos digitais,0.825,propor ações para cada etapa da infância,0.4972,"etapa da infância, nativos digitais","0.7539, 0.719",propor ações,0.6621,"nativos digitais, Gênero manual de orientação, nativos digitais, nativos digitais, propor ações para cada etapa da infância, etapa da infância, nativos digitais, propor ações"
Linguagens,H3,"Gênero carta aberta, com objetivo de chamar a atenção da população sobre a saúde pública para idosos.",567.9,LC,550-650,"saúde pública para idosos, Gênero carta aberta","0.6218, 0.4039",saúde pública,0.9422,saúde pública,0.9251,chamar a atenção da população,0.7336,Gênero carta aberta,0.5637,chamar a atenção da população,0.6856,"saúde pública para idosos, Gênero carta aberta, saúde pública, saúde pública, chamar a atenção da população, Gênero carta aberta, chamar a atenção da população"
Linguagens,H3,"Artigo de opinião, uso de formas verbais para tornar o leitor copartícipe do ponto de vista.",571.1,LC,550-650,formas verbais,0.9021,Artigo de opinião,0.9948,Artigo de opinião,0.9882,"tornar o leitor copartícipe do ponto de vista, uso de formas verbais","0.8246, 0.6992",Artigo de opinião,0.5634,"uso de formas verbais, tornar o leitor copartícipe do ponto de vista","0.7782, 0.314","formas verbais, Artigo de opinião, Artigo de opinião, tornar o leitor copartícipe do ponto de vista, uso de formas verbais, Artigo de opinião, uso de formas verbais, tornar o leitor copartícipe do ponto de vista"
Linguagens,H3,"Texto sobre exploração de madeira na Amazônia, com função de apresentar informações e comentários sobre um livro.",602.7,LC,550-650,exploração de madeira,0.8193,exploração de madeira,0.6565,exploração de madeira,0.7372,exploração de madeira,0.8331,exploração de madeira,0.3639,apresentar informações e comentários,0.7936,"exploração de madeira, exploração de madeira, exploração de madeira, exploração de madeira, exploração de madeira, apresentar informações e comentários"
Linguagens,H3,"Texto eletrônico (hipertexto), sua função social de propiciar livre e imediato acesso às informações.",603.4,LC,550-650,Texto eletrônico,0.8986,Texto eletrônico,0.9134,Texto eletrônico,0.926,propiciar livre e imediato acesso às informações,0.8961,Texto eletrônico,0.6277,propiciar livre e imediato acesso às informações,0.8821,"Texto eletrônico, Texto eletrônico, Texto eletrônico, propiciar livre e imediato acesso às informações, Texto eletrônico, propiciar livre e imediato acesso às informações"
Linguagens,H3,"Gênero carta em letra de canção, trocando notícias em tom nostálgico.",606.0,LC,550-650,"Gênero carta, tom nostálgico","0.4595, 0.3407",letra de canção,0.9607,"letra de canção, tom nostálgico","0.9443, 0.3291",trocando notícias em tom nostálgico,0.9486,"letra de canção, tom nostálgico","0.8273, 0.387",trocando notícias em tom nostálgico,0.8663,"Gênero carta, tom nostálgico, letra de canção, letra de canção, tom nostálgico, trocando notícias em tom nostálgico, letra de canção, tom nostálgico, trocando notícias em tom nostálgico"
Linguagens,H3,"Gênero resenha, com função social de fazer a apreciação de uma obra a partir de uma síntese crítica.",611.5,LC,550-650,síntese crítica,0.9288,Gênero resenha,0.9496,Gênero resenha,0.9237,apreciação de uma obra,0.8162,Gênero resenha,0.9432,apreciação de uma obra,0.7657,"síntese crítica, Gênero resenha, Gênero resenha, apreciação de uma obra, Gênero resenha, apreciação de uma obra"
Linguagens,H3,"Campanha publicitária, com função social de conscientizar que direitos implicam deveres.",622.5,LC,550-650,direitos implicam deveres,0.5355,Campanha publicitária,0.9991,Campanha publicitária,0.9961,conscientizar que direitos implicam deveres,0.7928,Campanha publicitária,0.9922,conscientizar que direitos implicam deveres,0.6894,"direitos implicam deveres, Campanha publicitária, Campanha publicitária, conscientizar que direitos implicam deveres, Campanha publicitária, conscientizar que direitos implicam deveres"
Linguagens,H3,"Gênero editorial, com função social de interpretar criticamente fatos noticiados.",644.4,LC,550-650,criticamente fatos noticiados,0.3241,Gênero editorial,0.9945,Gênero editorial,0.9868,interpretar criticamente fatos noticiados,0.9729,Gênero editorial,0.9193,interpretar criticamente fatos noticiados,0.9678,"criticamente fatos noticiados, Gênero editorial, Gênero editorial, interpretar criticamente fatos noticiados, Gênero editorial, interpretar criticamente fatos noticiados"
Linguagens,H3,"Reportagem sobre obra de arte, com função de chamar a atenção para a arte como perpetuadora de episódios marcantes.",645.5,LC,550-650,"episódios marcantes, obra de arte","0.5312, 0.3059",obra de arte,0.9982,obra de arte,0.9965,"perpetuadora de episódios marcantes, chamar a atenção para a arte","0.941, 0.5295",obra de arte,0.7185,chamar a atenção para a arte,0.8015,"episódios marcantes, obra de arte, obra de arte, obra de arte, perpetuadora de episódios marcantes, chamar a atenção para a arte, obra de arte, chamar a atenção para a arte"
Linguagens,H3,"Gênero crônica, com o eu lírico se aproximando de uma fábula ao apresentar uma lição de moral.",685.3,LC,650-750,lição de moral,0.8763,Gênero crônica,0.9987,Gênero crônica,0.997,lição de moral,0.8437,Gênero crônica,0.8019,lição de moral,0.6519,"lição de moral, Gênero crônica, Gênero crônica, lição de moral, Gênero crônica, lição de moral"
Linguagens,H3,"Concurso de miss como protesto, subvertendo a função social da fala das candidatas.",709.7,LC,650-750,função social,0.5008,,,,,subvertendo a função social da fala das candidatas,0.8343,Concurso de miss como protesto,0.8086,,,"função social, subvertendo a função social da fala das candidatas, Concurso de miss como protesto"
Linguagens,H3,"Gênero resenha de filme, com a função social de avaliar a obra por meio de análise crítica.",728.1,LC,650-750,"análise crítica, resenha de filme","0.9192, 0.3455",resenha de filme,0.8562,resenha de filme,0.8265,"análise crítica, avaliar a obra","0.7895, 0.5517",Gênero resenha de filme,0.7575,avaliar a obra,0.7632,"análise crítica, resenha de filme, resenha de filme, resenha de filme, análise crítica, avaliar a obra, Gênero resenha de filme, avaliar a obra"
Linguagens,H4,"Propaganda da ABI, depreendendo-se que para o cidadão formar sua opinião, ele deve ter acesso à informação.",480.0,LC,450-550,,,Propaganda da ABI,0.6975,Propaganda da ABI,0.6397,,,Propaganda da ABI,0.8872,,,"Propaganda da ABI, Propaganda da ABI, Propaganda da ABI"
Linguagens,H4,"Poema ""O sedutor médio"", com crítica aos valores da sociedade expressa com ironia.",520.9,LC,450-550,valores da sociedade expressa,0.3955,sociedade expressa,0.8111,sociedade expressa,0.7748,,,O sedutor médio,0.847,,,"valores da sociedade expressa, sociedade expressa, sociedade expressa, O sedutor médio"
Linguagens,H4,"Charge sobre manifestações, com crítica à reação ao controle do pensamento coletivo.",533.3,LC,450-550,reação ao controle do pensamento coletivo,0.6061,,,,,reação ao controle do pensamento coletivo,0.9901,Charge sobre manifestações,0.4922,,,"reação ao controle do pensamento coletivo, reação ao controle do pensamento coletivo, Charge sobre manifestações"
Linguagens,H4,Charge sobre a busca pela individualidade.,542.4,LC,450-550,busca pela individualidade,0.8201,,,,,busca pela individualidade,0.9524,,,busca pela individualidade,0.4693,"busca pela individualidade, busca pela individualidade, busca pela individualidade"
Linguagens,H4,"Tirinha sobre internet e ideologia, com crítica à comercialização de pontos de vista.",545.0,LC,450-550,comercialização de pontos de vista,0.8844,,,,,comercialização de pontos de vista,0.9974,,,comercialização de pontos de vista,0.6853,"comercialização de pontos de vista, comercialização de pontos de vista, comercialização de pontos de vista"
Linguagens,H4,"Jogo ""Super Trunfo"" com pesquisador, subvertendo o gênero ao relacionar o universo lúdico a informações biográficas.",547.5,LC,450-550,"informações biográficas, universo lúdico","0.9381, 0.6042","universo lúdico, informações biográficas","0.6827, 0.5917","informações biográficas, universo lúdico","0.7817, 0.7307","subvertendo o gênero, relacionar o universo lúdico a informações biográficas","0.9204, 0.3354",Super Trunfo,0.34,subvertendo o gênero,0.5262,"informações biográficas, universo lúdico, universo lúdico, informações biográficas, informações biográficas, universo lúdico, subvertendo o gênero, relacionar o universo lúdico a informações biográficas, Super Trunfo, subvertendo o gênero"
Linguagens,H4,"Crítica à propaganda, que favorece a imposição de ideias de grupos específicos.",557.1,LC,550-650,,,,,,,imposição de ideias de grupos específicos,0.9724,,,Crítica à propaganda,0.8101,"imposição de ideias de grupos específicos, Crítica à propaganda"
Linguagens,H4,"Charge sobre a exploração em Marte, com crítica à circulação digital excessiva de autorretratos (selfies).",557.2,LC,550-650,circulação digital,0.3755,circulação digital,0.3697,circulação digital,0.444,circulação digital excessiva,0.5294,exploração em Marte,0.7595,,,"circulação digital, circulação digital, circulação digital, circulação digital excessiva, exploração em Marte"
Linguagens,H4,"Crise da leitura, questionando essa ideia com base em pesquisas acadêmicas.",575.2,LC,550-650,"Crise da leitura, pesquisas acadêmicas","0.7851, 0.77",pesquisas acadêmicas,0.9362,pesquisas acadêmicas,0.9639,Crise da leitura,0.5705,Crise da leitura,0.9894,,,"Crise da leitura, pesquisas acadêmicas, pesquisas acadêmicas, pesquisas acadêmicas, Crise da leitura, Crise da leitura"
Linguagens,H4,"Poesia em cartaz (lambe-lambe), evidenciando a disseminação da arte poética em um veículo não convencional.",586.2,LC,550-650,arte poética,0.7739,Poesia em cartaz,0.5885,Poesia em cartaz,0.5058,disseminação da arte poética,0.8564,"veículo não convencional, Poesia em cartaz","0.6741, 0.5614",,,"arte poética, Poesia em cartaz, Poesia em cartaz, disseminação da arte poética, veículo não convencional, Poesia em cartaz"
Linguagens,H4,"Publicidade governamental, com o objetivo de assegurar a fiscalização dos gastos públicos.",589.7,LC,550-650,fiscalização dos gastos públicos,0.8027,Publicidade governamental,0.998,Publicidade governamental,0.9946,fiscalização dos gastos públicos,0.9824,Publicidade governamental,0.8708,assegurar a fiscalização dos gastos públicos,0.5138,"fiscalização dos gastos públicos, Publicidade governamental, Publicidade governamental, fiscalização dos gastos públicos, Publicidade governamental, assegurar a fiscalização dos gastos públicos"
Linguagens,H4,"Petição on-line para mudar definição em dicionário, impulsionada pela utilização pública da petição pelos cidadãos.",591.3,LC,550-650,"Petição on-line, definição em dicionário","0.3973, 0.3715",,,,,"mudar definição em dicionário, utilização pública da petição pelos cidadãos","0.8298, 0.529",Petição on-line,0.6671,mudar definição em dicionário,0.7867,"Petição on-line, definição em dicionário, mudar definição em dicionário, utilização pública da petição pelos cidadãos, Petição on-line, mudar definição em dicionário"
Linguagens,H4,A piada como objeto de investigação e veículo de preconceitos.,611.8,LC,550-650,"A piada, veículo de preconceitos","0.6646, 0.5512",veículo de preconceitos,0.4976,veículo de preconceitos,0.5718,veículo de preconceitos,0.7034,veículo de preconceitos,0.671,veículo de preconceitos,0.58,"A piada, veículo de preconceitos, veículo de preconceitos, veículo de preconceitos, veículo de preconceitos, veículo de preconceitos, veículo de preconceitos"
Linguagens,H4,"Crítica à internet (Nicholas Carr), que garante a empresas a obtenção de lucro com a fragilidade de nossa atenção.",612.4,LC,550-650,"Crítica à internet, fragilidade de nossa atenção","0.6652, 0.596",Crítica à internet,0.9915,Crítica à internet,0.9888,"obtenção de lucro, fragilidade de nossa atenção","0.9128, 0.8971","Nicholas Carr, Crítica à internet","0.8145, 0.3353","obtenção de lucro, fragilidade de nossa atenção","0.6184, 0.3672","Crítica à internet, fragilidade de nossa atenção, Crítica à internet, Crítica à internet, obtenção de lucro, fragilidade de nossa atenção, Nicholas Carr, Crítica à internet, obtenção de lucro, fragilidade de nossa atenção"
Linguagens,H4,"Gênero poema, caracterizado pelo uso expressivo da metáfora.",625.2,LC,550-650,uso expressivo da metáfora,0.7289,Gênero poema,0.9746,Gênero poema,0.9517,uso expressivo da metáfora,0.957,Gênero poema,0.9621,uso expressivo da metáfora,0.896,"uso expressivo da metáfora, Gênero poema, Gênero poema, uso expressivo da metáfora, Gênero poema, uso expressivo da metáfora"
